status,product_area,response,justification,request_type
escalated,Claude · Team and Enterprise plans · Admin management,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
escalated,HackerRank · Integrations · Applicant Tracking Systems · IBM Kenexa Brassring,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
escalated,Visa · support,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
replied,HackerRank · Mock Interviews,"The My Previous Mock Interviews dialog displays a list of your previous mock interviews, including the date and score for each. Locate the AI Fluency card under the AI-powered Mock Interviews section. Click View Previous Interviews.",Low-risk issue with strong documentation match (score 34.5) above threshold 10.0.,bug
escalated,HackerRank · Integrations · Applicant Tracking Systems · Greenhouse,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
escalated,HackerRank · General Help · Evaluation Guides,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
replied,HackerRank · Integrations · Applicant Tracking Systems · Oracle Recruiting Cloud,"Once you close the modal, your tokens will be encrypted and you will not be able to see them again. If you misplace the token and cannot find it to be entered in ORC, you can come back and regenerate tokens from HackerRank. One thing to remember is that if your integration is active with any old tokens, it will stop working if you delete these tokens from HackerRank. They look very similar but are not interchangeable and usually differ by only a few characters.",Low-risk issue with strong documentation match (score 15.5) above threshold 10.0.,bug
escalated,HackerRank · Screen · Best Practice Guides,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,Escalation rule matched (Widespread outage or critical platform failure reported).,product_issue
replied,HackerRank · Interviews · Integrations,"Zoom - HackerRank Interview Integration _Last updated: Dec 13, 2024, 5:02 AM (Last updated 1 year ago)_ Overview You can access HackerRank Interview’s online code editor that mirrors the environment you are used to working in, while also being packed with powerful hiring features inside the Zoom application. How it Works This article will walk you through the workflow of Interviews inside Zoom. As you have already installed the HackerRank application, you can find it inside the Apps window under the My Apps section. First Install the HackerRank app from the Zoom marketplace.",Low-risk issue with strong documentation match (score 28.3) above threshold 10.0.,bug
replied,HackerRank · Screen · Invite Candidates,"Sample email templates The following are sample email templates: Invitation template 1 Subject: <Company Name> < Test Name > Assessment Invitation Email Body: Hi <Candidate Name> , Thank you for your interest in <Company Name>. We have reviewed your application and would like you to proceed to the next step of the interview process! Your next step is to complete the coding challenge administered by HackerRank. The system saves your templates under My Templates.",Low-risk issue with strong documentation match (score 44.9) above threshold 10.0.,product_issue
